round_index,phase,recommendations_shown_in_run,phase_recommendations_eligible,scenario_id,starting_city_for_round,n_orders,order_ids,orders_detail,n_distinct_stores,n_distinct_cities,menu_layout,max_bundle,store_overlap_realized,generator_city_rule,dispersion_designed,overlap_designed,trap_designed,trap_target_amount,intended_difficulty,oracle_bundle_ids,oracle_bundle_size,oracle_score,oracle_earnings,oracle_time_s,oracle_ending_city,second_best_bundle_ids,second_best_bundle_size,second_best_score,second_best_earnings,score_gap,relative_gap,max_overlap_savings_s,maxpay_bundle_ids,maxpay_bundle_size,maxpay_earnings,maxpay_score,payout_trap_present,trap_overpay_amount,trap_score_shortfall,trap_relative_shortfall,deployed_best_bundle_ids,recompute_matches_deployed_best,recompute_matches_deployed_second
24,B,False,True,mainGameScenario24,Piedmont,4,"[""mainGameOrder93"", ""mainGameOrder94"", ""mainGameOrder95"", ""mainGameOrder96""]","[{""id"": ""mainGameOrder93"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder94"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 21, ""n_unique_items"": 2}, {""id"": ""mainGameOrder95"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder96"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 15, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder94""]",1,1.891892,21.0,11.1,Piedmont,"[""mainGameOrder94"", ""mainGameOrder95""]",2,1.860465,40.0,0.031427,0.016611,3.5,"[""mainGameOrder93"", ""mainGameOrder94"", ""mainGameOrder95""]",3,57.0,1.701493,True,36.0,0.190399,0.10064,"[""mainGameOrder94""]",True,True
25,B,False,True,mainGameScenario25,Piedmont,4,"[""mainGameOrder97"", ""mainGameOrder98"", ""mainGameOrder99"", ""mainGameOrder100""]","[{""id"": ""mainGameOrder97"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 12, ""n_unique_items"": 3}, {""id"": ""mainGameOrder98"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 18, ""n_unique_items"": 3}, {""id"": ""mainGameOrder99"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder100"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 15, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder98"", ""mainGameOrder99""]",2,0.892857,35.0,39.2,Emeryville,"[""mainGameOrder99""]",1,0.790698,17.0,0.102159,0.114419,1.8,"[""mainGameOrder98"", ""mainGameOrder99""]",2,35.0,0.892857,False,0,0,0,"[""mainGameOrder98"", ""mainGameOrder99""]",True,True
26,B,False,True,mainGameScenario26,Emeryville,4,"[""mainGameOrder101"", ""mainGameOrder102"", ""mainGameOrder103"", ""mainGameOrder104""]","[{""id"": ""mainGameOrder101"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder102"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 16, ""n_unique_items"": 3}, {""id"": ""mainGameOrder103"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder104"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 19, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder101""]",1,2.056075,22.0,10.7,Emeryville,"[""mainGameOrder101"", ""mainGameOrder103""]",2,1.82243,39.0,0.233645,0.113636,6.3,"[""mainGameOrder101"", ""mainGameOrder103"", ""mainGameOrder104""]",3,58.0,1.611111,True,36.0,0.444964,0.216414,"[""mainGameOrder101""]",True,True
27,B,False,True,mainGameScenario27,Emeryville,4,"[""mainGameOrder105"", ""mainGameOrder106"", ""mainGameOrder107"", ""mainGameOrder108""]","[{""id"": ""mainGameOrder105"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 18, ""n_unique_items"": 2}, {""id"": ""mainGameOrder106"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 21, ""n_unique_items"": 3}, {""id"": ""mainGameOrder107"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder108"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder105""]",1,1.682243,18.0,10.7,Emeryville,"[""mainGameOrder105"", ""mainGameOrder107""]",2,1.560976,32.0,0.121267,0.072087,5.4,"[""mainGameOrder105"", ""mainGameOrder106"", ""mainGameOrder107""]",3,53.0,1.387435,True,35.0,0.294808,0.175247,"[""mainGameOrder105""]",True,True
28,B,False,True,mainGameScenario28,Emeryville,4,"[""mainGameOrder109"", ""mainGameOrder110"", ""mainGameOrder111"", ""mainGameOrder112""]","[{""id"": ""mainGameOrder109"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 13, ""n_unique_items"": 3}, {""id"": ""mainGameOrder110"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder111"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder112"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 12, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder110""]",1,2.244898,22.0,9.8,Emeryville,"[""mainGameOrder110"", ""mainGameOrder112""]",2,1.734694,34.0,0.510204,0.227273,5.4,"[""mainGameOrder109"", ""mainGameOrder110"", ""mainGameOrder111""]",3,54.0,1.363636,True,32.0,0.881262,0.392562,"[""mainGameOrder110""]",True,True
29,B,False,True,mainGameScenario29,Emeryville,4,"[""mainGameOrder113"", ""mainGameOrder114"", ""mainGameOrder115"", ""mainGameOrder116""]","[{""id"": ""mainGameOrder113"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 15, ""n_unique_items"": 2}, {""id"": ""mainGameOrder114"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder115"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 16, ""n_unique_items"": 2}, {""id"": ""mainGameOrder116"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 12, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder113"", ""mainGameOrder115""]",2,1.033333,31.0,30.0,Berkeley,"[""mainGameOrder114"", ""mainGameOrder116""]",2,0.986301,36.0,0.047032,0.045515,2.1,"[""mainGameOrder114"", ""mainGameOrder116""]",2,36.0,0.986301,True,5.0,0.047032,0.045515,"[""mainGameOrder113"", ""mainGameOrder115""]",True,True
30,B,False,True,mainGameScenario30,Berkeley,4,"[""mainGameOrder117"", ""mainGameOrder118"", ""mainGameOrder119"", ""mainGameOrder120""]","[{""id"": ""mainGameOrder117"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 16, ""n_unique_items"": 3}, {""id"": ""mainGameOrder118"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 12, ""n_unique_items"": 3}, {""id"": ""mainGameOrder119"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder120"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 18, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder119""]",1,1.875,24.0,12.8,Berkeley,"[""mainGameOrder119"", ""mainGameOrder120""]",2,1.603053,42.0,0.271947,0.145038,5.4,"[""mainGameOrder117"", ""mainGameOrder119"", ""mainGameOrder120""]",3,58.0,1.400966,True,34.0,0.474034,0.252818,"[""mainGameOrder119""]",True,True
31,B,False,True,mainGameScenario31,Berkeley,4,"[""mainGameOrder121"", ""mainGameOrder122"", ""mainGameOrder123"", ""mainGameOrder124""]","[{""id"": ""mainGameOrder121"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 18, ""n_unique_items"": 3}, {""id"": ""mainGameOrder122"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder123"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder124"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 15, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder121"", ""mainGameOrder122"", ""mainGameOrder124""]",3,1.129363,55.0,48.7,Piedmont,"[""mainGameOrder121"", ""mainGameOrder122""]",2,1.069519,40.0,0.059845,0.05299,4.9,"[""mainGameOrder121"", ""mainGameOrder122"", ""mainGameOrder124""]",3,55.0,1.129363,False,0,0,0,"[""mainGameOrder121"", ""mainGameOrder122"", ""mainGameOrder124""]",True,True
32,B,False,True,mainGameScenario32,Piedmont,4,"[""mainGameOrder125"", ""mainGameOrder126"", ""mainGameOrder127"", ""mainGameOrder128""]","[{""id"": ""mainGameOrder125"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 21, ""n_unique_items"": 3}, {""id"": ""mainGameOrder126"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder127"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 14, ""n_unique_items"": 2}, {""id"": ""mainGameOrder128"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 20, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder125"", ""mainGameOrder126"", ""mainGameOrder128""]",3,1.483376,58.0,39.1,Piedmont,"[""mainGameOrder126"", ""mainGameOrder128""]",2,1.474104,37.0,0.009272,0.006251,4.9,"[""mainGameOrder125"", ""mainGameOrder126"", ""mainGameOrder128""]",3,58.0,1.483376,False,0,0,0,"[""mainGameOrder125"", ""mainGameOrder126"", ""mainGameOrder128""]",True,True
33,B,False,True,mainGameScenario33,Piedmont,4,"[""mainGameOrder129"", ""mainGameOrder130"", ""mainGameOrder131"", ""mainGameOrder132""]","[{""id"": ""mainGameOrder129"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder130"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 12, ""n_unique_items"": 2}, {""id"": ""mainGameOrder131"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder132"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 18, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder131"", ""mainGameOrder132""]",2,1.057143,37.0,35.0,Berkeley,"[""mainGameOrder130"", ""mainGameOrder131"", ""mainGameOrder132""]",3,1.038136,49.0,0.019007,0.01798,3.0,"[""mainGameOrder130"", ""mainGameOrder131"", ""mainGameOrder132""]",3,49.0,1.038136,True,12.0,0.019007,0.01798,"[""mainGameOrder131"", ""mainGameOrder132""]",True,True
34,B,False,True,mainGameScenario34,Berkeley,4,"[""mainGameOrder133"", ""mainGameOrder134"", ""mainGameOrder135"", ""mainGameOrder136""]","[{""id"": ""mainGameOrder133"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder134"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 14, ""n_unique_items"": 3}, {""id"": ""mainGameOrder135"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder136"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder133"", ""mainGameOrder135"", ""mainGameOrder136""]",3,1.994048,67.0,33.6,Berkeley,"[""mainGameOrder135"", ""mainGameOrder136""]",2,1.935484,48.0,0.058564,0.029369,5.4,"[""mainGameOrder133"", ""mainGameOrder135"", ""mainGameOrder136""]",3,67.0,1.994048,False,0,0,0,"[""mainGameOrder133"", ""mainGameOrder135"", ""mainGameOrder136""]",True,True
35,B,False,True,mainGameScenario35,Berkeley,4,"[""mainGameOrder137"", ""mainGameOrder138"", ""mainGameOrder139"", ""mainGameOrder140""]","[{""id"": ""mainGameOrder137"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 23, ""n_unique_items"": 3}, {""id"": ""mainGameOrder138"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 18, ""n_unique_items"": 2}, {""id"": ""mainGameOrder139"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 13, ""n_unique_items"": 2}, {""id"": ""mainGameOrder140"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder140""]",1,2.608696,24.0,9.2,Berkeley,"[""mainGameOrder138"", ""mainGameOrder140""]",2,2.307692,42.0,0.301003,0.115385,3.0,"[""mainGameOrder138"", ""mainGameOrder139"", ""mainGameOrder140""]",3,55.0,1.93662,True,31.0,0.672076,0.257629,"[""mainGameOrder140""]",True,True
36,C,False,False,mainGameScenario36,Berkeley,4,"[""mainGameOrder141"", ""mainGameOrder142"", ""mainGameOrder143"", ""mainGameOrder144""]","[{""id"": ""mainGameOrder141"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 13, ""n_unique_items"": 2}, {""id"": ""mainGameOrder142"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder143"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder144"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 13, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder142""]",1,1.73913,24.0,13.8,Berkeley,"[""mainGameOrder142"", ""mainGameOrder143"", ""mainGameOrder144""]",3,1.5,54.0,0.23913,0.1375,4.2,"[""mainGameOrder142"", ""mainGameOrder143"", ""mainGameOrder144""]",3,54.0,1.5,True,30.0,0.23913,0.1375,"[""mainGameOrder142""]",True,True
37,C,False,False,mainGameScenario37,Berkeley,4,"[""mainGameOrder145"", ""mainGameOrder146"", ""mainGameOrder147"", ""mainGameOrder148""]","[{""id"": ""mainGameOrder145"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 23, ""n_unique_items"": 2}, {""id"": ""mainGameOrder146"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 21, ""n_unique_items"": 3}, {""id"": ""mainGameOrder147"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder148"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 22, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder145"", ""mainGameOrder147""]",2,1.73913,40.0,23.0,Berkeley,"[""mainGameOrder145""]",1,1.666667,23.0,0.072464,0.041667,4.8,"[""mainGameOrder145"", ""mainGameOrder146"", ""mainGameOrder147""]",3,61.0,1.605263,True,21.0,0.133867,0.076974,"[""mainGameOrder145"", ""mainGameOrder147""]",True,True
38,C,False,False,mainGameScenario38,Berkeley,4,"[""mainGameOrder149"", ""mainGameOrder150"", ""mainGameOrder151"", ""mainGameOrder152""]","[{""id"": ""mainGameOrder149"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 24, ""n_unique_items"": 3}, {""id"": ""mainGameOrder150"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 22, ""n_unique_items"": 3}, {""id"": ""mainGameOrder151"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 12, ""n_unique_items"": 2}, {""id"": ""mainGameOrder152"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 14, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder149"", ""mainGameOrder150""]",2,1.691176,46.0,27.2,Berkeley,"[""mainGameOrder149""]",1,1.666667,24.0,0.02451,0.014493,4.8,"[""mainGameOrder149"", ""mainGameOrder150"", ""mainGameOrder152""]",3,60.0,1.621622,True,14.0,0.069555,0.041128,"[""mainGameOrder149"", ""mainGameOrder150""]",True,True
39,C,False,False,mainGameScenario39,Berkeley,4,"[""mainGameOrder153"", ""mainGameOrder154"", ""mainGameOrder155"", ""mainGameOrder156""]","[{""id"": ""mainGameOrder153"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder154"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder155"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 14, ""n_unique_items"": 3}, {""id"": ""mainGameOrder156"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 12, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder153"", ""mainGameOrder154""]",2,0.804734,34.0,42.25,Oakland,"[""mainGameOrder153"", ""mainGameOrder154"", ""mainGameOrder156""]",3,0.773109,46.0,0.031624,0.039298,3.75,"[""mainGameOrder153"", ""mainGameOrder154"", ""mainGameOrder156""]",3,46.0,0.773109,True,12.0,0.031624,0.039298,"[""mainGameOrder153"", ""mainGameOrder154""]",True,True
40,C,False,False,mainGameScenario40,Oakland,4,"[""mainGameOrder157"", ""mainGameOrder158"", ""mainGameOrder159"", ""mainGameOrder160""]","[{""id"": ""mainGameOrder157"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 15, ""n_unique_items"": 2}, {""id"": ""mainGameOrder158"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 23, ""n_unique_items"": 2}, {""id"": ""mainGameOrder159"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 22, ""n_unique_items"": 2}, {""id"": ""mainGameOrder160"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder158"", ""mainGameOrder159""]",2,1.956522,45.0,23.0,Oakland,"[""mainGameOrder157"", ""mainGameOrder158"", ""mainGameOrder159""]",3,1.935484,60.0,0.021038,0.010753,5.25,"[""mainGameOrder158"", ""mainGameOrder159"", ""mainGameOrder160""]",3,64.0,1.542169,True,19.0,0.414353,0.21178,"[""mainGameOrder158"", ""mainGameOrder159""]",True,True
41,C,False,False,mainGameScenario41,Oakland,4,"[""mainGameOrder161"", ""mainGameOrder162"", ""mainGameOrder163"", ""mainGameOrder164""]","[{""id"": ""mainGameOrder161"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 2}, {""id"": ""mainGameOrder162"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 21, ""n_unique_items"": 3}, {""id"": ""mainGameOrder163"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 13, ""n_unique_items"": 3}, {""id"": ""mainGameOrder164"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 21, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder161""]",1,1.583333,19.0,12.0,Oakland,"[""mainGameOrder161"", ""mainGameOrder162""]",2,1.333333,40.0,0.25,0.157895,3.0,"[""mainGameOrder161"", ""mainGameOrder162"", ""mainGameOrder163""]",3,53.0,1.269461,True,34.0,0.313872,0.198235,"[""mainGameOrder161""]",True,True
42,C,False,False,mainGameScenario42,Oakland,4,"[""mainGameOrder165"", ""mainGameOrder166"", ""mainGameOrder167"", ""mainGameOrder168""]","[{""id"": ""mainGameOrder165"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 20, ""n_unique_items"": 2}, {""id"": ""mainGameOrder166"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 20, ""n_unique_items"": 2}, {""id"": ""mainGameOrder167"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 20, ""n_unique_items"": 2}, {""id"": ""mainGameOrder168"", ""store"": ""Sprouts Farmers Market"", ""city"": ""Oakland"", ""earnings"": 19, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder167""]",1,1.777778,20.0,11.25,Oakland,"[""mainGameOrder165"", ""mainGameOrder167""]",2,1.684211,40.0,0.093567,0.052632,1.5,"[""mainGameOrder165"", ""mainGameOrder166"", ""mainGameOrder167""]",3,60.0,1.655172,True,40.0,0.122605,0.068966,"[""mainGameOrder167""]",True,True
43,C,False,False,mainGameScenario43,Oakland,4,"[""mainGameOrder169"", ""mainGameOrder170"", ""mainGameOrder171"", ""mainGameOrder172""]","[{""id"": ""mainGameOrder169"", ""store"": ""Safeway"", ""city"": ""Piedmont"", ""earnings"": 24, ""n_unique_items"": 2}, {""id"": ""mainGameOrder170"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 14, ""n_unique_items"": 3}, {""id"": ""mainGameOrder171"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 18, ""n_unique_items"": 2}, {""id"": ""mainGameOrder172"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 20, ""n_unique_items"": 3}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder171"", ""mainGameOrder172""]",2,1.366906,38.0,27.8,Emeryville,"[""mainGameOrder170"", ""mainGameOrder171"", ""mainGameOrder172""]",3,1.336761,52.0,0.030146,0.022054,9.0,"[""mainGameOrder170"", ""mainGameOrder171"", ""mainGameOrder172""]",3,52.0,1.336761,True,14.0,0.030146,0.022054,"[""mainGameOrder171"", ""mainGameOrder172""]",True,True
44,C,False,False,mainGameScenario44,Emeryville,4,"[""mainGameOrder173"", ""mainGameOrder174"", ""mainGameOrder175"", ""mainGameOrder176""]","[{""id"": ""mainGameOrder173"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder174"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 15, ""n_unique_items"": 2}, {""id"": ""mainGameOrder175"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder176"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 20, ""n_unique_items"": 2}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder174"", ""mainGameOrder176""]",2,1.489362,35.0,23.5,Emeryville,"[""mainGameOrder174"", ""mainGameOrder175"", ""mainGameOrder176""]",3,1.477273,52.0,0.012089,0.008117,3.6,"[""mainGameOrder173"", ""mainGameOrder175"", ""mainGameOrder176""]",3,56.0,1.281465,True,21.0,0.207897,0.139588,"[""mainGameOrder174"", ""mainGameOrder176""]",True,True
45,C,False,False,mainGameScenario45,Emeryville,4,"[""mainGameOrder177"", ""mainGameOrder178"", ""mainGameOrder179"", ""mainGameOrder180""]","[{""id"": ""mainGameOrder177"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 19, ""n_unique_items"": 3}, {""id"": ""mainGameOrder178"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 17, ""n_unique_items"": 2}, {""id"": ""mainGameOrder179"", ""store"": ""Berkeley Bowl"", ""city"": ""Berkeley"", ""earnings"": 18, ""n_unique_items"": 3}, {""id"": ""mainGameOrder180"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 20, ""n_unique_items"": 2}]",2,2,dispersed,3,1,random_fair_target_city,True,False,False,,,"[""mainGameOrder177"", ""mainGameOrder180""]",2,1.373239,39.0,28.4,Emeryville,"[""mainGameOrder180""]",1,1.360544,20.0,0.012695,0.009245,1.2,"[""mainGameOrder177"", ""mainGameOrder180""]",2,39.0,1.373239,False,0,0,0,"[""mainGameOrder177"", ""mainGameOrder180""]",True,True
46,C,False,False,mainGameScenario46,Emeryville,4,"[""mainGameOrder181"", ""mainGameOrder182"", ""mainGameOrder183"", ""mainGameOrder184""]","[{""id"": ""mainGameOrder181"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 20, ""n_unique_items"": 3}, {""id"": ""mainGameOrder182"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 15, ""n_unique_items"": 3}, {""id"": ""mainGameOrder183"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 15, ""n_unique_items"": 2}, {""id"": ""mainGameOrder184"", ""store"": ""Target"", ""city"": ""Emeryville"", ""earnings"": 22, ""n_unique_items"": 3}]",1,1,compact,3,1,anchored_to_prev_best_city,True,False,False,,,"[""mainGameOrder181"", ""mainGameOrder184""]",2,1.573034,42.0,26.7,Emeryville,"[""mainGameOrder181"", ""mainGameOrder183"", ""mainGameOrder184""]",3,1.544715,57.0,0.028318,0.018002,9.9,"[""mainGameOrder181"", ""mainGameOrder183"", ""mainGameOrder184""]",3,57.0,1.544715,True,15.0,0.028318,0.018002,"[""mainGameOrder181"", ""mainGameOrder184""]",True,True
